Account Name,Company Name in QB,Vertical,Active or Cancelled,Cancellation Reason,# Screens Customized,Users,Lead Score,Employees,Customers,Annual Sales,PS Amount to Date,SAAS Amount to Date,Website,New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,Eligible?,New / Edit Sales Receipt
vantagemidsouth,,,Cancelled,No advanced inventory,,,,,,,,,,,,,,,,,,,,,
lubesquadofmiallc,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
lonestarwater,"Lone Star Pure Water, Inc",Field Services,Active,N/A,17,5,90,10,4281,"1,790,664",2610,6445,lonestarwater.net,0,0,0,0,N/A,N/A,1,N/A,1,1,No,0
betterfloorsmhk,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
onestsourcelubes2,,,Cancelled,Company closed down,,,,,,,,,,,,,,,,,,,,,
perfecthomefurniture3,,,Cancelled,No advanced inventory,,,,,,,,,,,,,,,,,,,,,
elcamporefrigeration,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
alezziindustriescoltd3,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
prairiegrainanalyzers2,Prairie Grain Analyzers Inc.,"Animal Services, Farming or Forestry",Active,N/A,6,7,72,32,5013,"4,150,282",,4170.6,grainanalyzers.ca,1,0,0,0,N/A,N/A,0,N/A,1,1,No,0
lynch2,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
allanchemicalcorporation2,,,Cancelled,Did not integrate with SOS,,,,,,,,,,,,,,,,,,,,,
evdsamerica,E VDS DIAMOND AMERICA INC,Construction,Active,N/A,12,4,70,0,487,"617,189",435,2982.7,evdsamerica.com,0,0,1,0,N/A,N/A,1,N/A,2,1,No,0
mjjdassociatesllc,MJJD Associates LLC,Manufacturing (MWD),Active,N/A,16,5,,134,1415,"6,783,255",2650.5,6542.5,abex.com,0,0,0,0,N/A,N/A,1,N/A,1,1,No,1
dobinsonslatinamerica,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
tintdfilmandgraphicsolutions,,,Cancelled,No advanced inventory,,,,,,,,,,,,,,,,,,,,,
midfloridafasteners,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
mobbmountaindistillers,Mobb Mountain Distillers,Food and beverage,Active,N/A,11,6,48,6,577,"89,004",,4575,mobbmountain.com,0,1,1,0,N/A,N/A,0,N/A,2,1,No,0
refexpertsandhvacllc,REF EXPERTS AND HVAC LLC,,Active,N/A,47,46,81,0,820,"12,709,415",17156.75,37497,refexperts.com,0,1,0,0,1,0,1,0,3,0,No,0
lubesquadofmiallc,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
stuckeysound,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
ttgt,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
valleywindowcleaning2,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
protectx3,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
profithvacllc2,,,Cancelled,Switched to Cin7 meets advanced inventory needs,,,,,,,,,,,,,,,,,,,,,
prosourcegroup,Pro-Source Group,Wholesale and distribution services (MWD),Active,N/A,12,3,67,1,42,"3,029,754",,492.75,,1,1,1,0,0,0,1,0,4,0,No,0
kaelinegrouplimited,,,Cancelled,No advanced inventory,,,,,,,,,,,,,,,,,,,,,
ebamethod,EUROBOOR USA INCORPORATED,Manufacturing (MWD),Active,N/A,63,7,42,21,523,"4,337,898",28963.5,8120,euroboor.com,1,1,1,0,1,0,1,0,5,0,No,0
earthbrandsinc,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
tagequipment,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
ConradWestGallery,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
achiscaffolding2,,,Cancelled,N/A,,,,,,,,,,,,,,,,,,,,,
arbourdale,1390674 ONTARIO LTD.,Other,Active,N/A,42,11,84,1,1502,"4,020,336",5325,14093,arbourdale.com,1,1,1,1,N/A,N/A,1,N/A,5,1,No,1