Account Name,Company Name in QB,Feature Request ,New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,Eligible?
dylanwilliamscpa ✅ ,"Park Models & Modulars, LLC",SOS,0,0,0,0,0,0,0,0,0,0,Yes
miminternationalinc ✅ ,"MIM International, Inc.",SOS,0,0,0,0,0,0,0,0,0,0,Yes
nuewal ✅ ,NUEWAL Inc.,SOS,0,0,0,0,0,0,0,0,0,0,Yes
mcbautobodyandcustomsltd ✅ ,MCB Autobody and Customs Ltd,Locations in Transactions ,0,0,0,0,0,0,0,0,0,0,Yes
sanecotecltd ✅ ,SanEcoTec Ltd.,Katana ,0,0,0,0,0,0,1,0,1,0,No
refexpertsandhvacllc 🟡,REF EXPERTS AND HVAC LLC,Warehouse,0,1,0,0,1,0,1,0,3,0,No
a2zsupplies ⚠️,A2Z Supplies LLC,SOS,1,1,0,0,0,0,1,0,3,0,No
carolinalightinggroup ✅ ,Carolina Lighting Group LLC,SOS,0,0,1,0,1,0,1,0,3,0,No
prosourcegroup ⚠️,Pro-Source Group,Warehouse,1,1,1,0,0,0,1,0,4,0,No
cooksdoorsandmouldingsinc 🟡,Cooks Doors and Mouldings Inc,SOS,0,0,1,0,1,1,1,0,4,0,No
hydrospraywashsystemsinc 🟡,HydroSpray Wash Systems Inc,SOS,0,1,1,0,1,0,1,0,4,0,No
ebamethod ⚠️,EUROBOOR USA INCORPORATED,Warehouse,1,1,1,0,1,0,1,0,5,0,No
lancasterandassociatesinc2 ⚠️,"Lancaster & Associates, Inc.",SOS,0,1,1,1,1,1,1,0,6,0,No
botanaway ⚠️,"BotanaWay, Inc.",Katana ,1,0,1,1,1,1,1,1,7,0,No
cypressengine ❌,"Cypress Engine Accessories, LLC",SOS,1,1,1,1,1,1,1,0,7,0,No