Interview questions,Client: Europena - Food Distribution,Rev: $25M,Method Spend: ~USD7000/annual,QBDT
,,,,
Theme,Question to Ask,Insight You Need,Customer answer,
Business & Industry,"""How do you usually describe your space in the market when talking to others?""",The specific industry language or labels for your personas.,Food distribution. They are transitioning into food manufacturing.,
Business & Industry,"""In the barbecue and marinade world, is your business closer to manufacturing or food distribution?""",Understanding if their pain is Sales or Operations led.,Today they are food distribution. They plan to move into manufacturing.,
CRM Strategy,"""We know you use QuickBooks. Was the deep integration with QuickBooks a key factor in choosing Method? Or was it something else?""",Validating the QuickBooks ecosystem value prop.,"QuickBooks was one of the main reasons. The other big reason is customization, plus they have invested a lot of time building in Method so switching is hard.",
CRM Strategy,"""You use Method heavily for reporting. Is that the main reason you rely on it today? Or are there other core workflows you're getting value from?""",Confirming that Flexibility beats Standard Features.,"Reporting is a major use case, but they also use it as a CRM. They use it for contact management, cleaning duplicates, audits at store level, activities, opportunities, and a custom rolling data app.",
CRM Strategy,"""Does having Method on the iPad actually change how your sales reps work in the field?""",Assessing real world mobile adoption and utility.,Yes. iPad and phone views are very important for audits and for Web to Lead capture at trade shows.,
Inventory (Fishbowl),"""Looking back, what was the original reason you started using Method?""",Understanding the legacy decision making process.,"QuickBooks integration plus the ability to customize. They considered switching at one point, but customization and prior investment kept them with Method.",
Inventory (Pain Points),"""You mentioned moving away from Fishbowl. What specifically made it frustrating or no longer worth using?""",Identifying the churn triggers for competitors.,"Fishbowl data structure made everything come through as a Fishbowl item. Product descriptions were buried in a memo style field, making search, reporting, and downstream use in Method painful. They had to manually add descriptions and clean data, creating extra work.",
Inventory (The Future),"""What specific feature or promise does Markov offer that made you confident enough to switch?""",Understanding what good looks like to them now.,"Markov should bring data into QuickBooks in a structure that matches how QuickBooks does it, with correct descriptions, making it easier to pull and mirror the cleaner workflow they already have in their other company.",
Inventory (Ideal State),"""If Method's new inventory tools could handle everything you need, would you want to consolidate and do it all in Method? Or do you still prefer QuickBooks plus inventory tool?""",Gauging appetite for an all in one solution.,"They want fewer steps and a more streamlined process. Longer term they can see a future where invoicing could happen out of Method, but today invoicing stays in QuickBooks and sales reps do not touch accounting. They are open to being contacted for inventory testing.",
,,,,
Research backed insight or assumption,Customer evidence quote,What this tells us,Marketing verbiage,
"Customization is the retention driver, especially for reporting","“We use Method as a CRM, but we also use it as like a reporting… the greatest thing is… we are able to customize.”","Their stickiness comes from building a system that matches their business, not from out of the box CRM. Reporting customization is a core value anchor.",Build the system your business actually runs on. Not the one you are forced into.,
They operate two companies and mirror workflows across them,“We have actually the two companies… we can kind of mirror every app that we're using.”,"Multi company standardization matters. They want repeatable app patterns, shared structures, and consistent reporting across entities.",Standardize operations across entities without sacrificing flexibility.,
"Method is a sales rep system, not an accounting system, by design",“Our sales reps don't do anything to do with accounting.”,"Permissions and role separation are critical. Method is the visibility and activity system for reps, while accounting and ops stay in QuickBooks and inventory tools.",Give sales visibility without giving up accounting control.,
Permission controls are a major win and used for internal competition control,“We like… the user permissions… we had them not seeing each other's numbers… we customize them seeing what they need to see.”,"Fine grained access control is a real buying and adoption lever, not a checkbox feature.",Control who sees what. Down to the detail.,
Data cleanliness is an operational need because many users create messy contacts,"“We end up having a lot of dirty stuff in there… we could just clean up, see duplicates.”","A practical admin pain: dedupe, parent child structure complexity, and governance. Cleanup workflows are part of the perceived value of customization and services.",Clean data is operational leverage. Not a nice to have.,
They built a store level audit workflow with photos and notes used in the field,“We have the audits… it really helps us see what's happening at store level. Pictures and the notes that we wanted.”,"This is a strong real world workflow story: mobile capture, field execution, and historical visibility. Great for distribution proof.",Turn field activity into structured operational insight.,
"Web to Lead is used for trade shows, so mobile layout matters",“We use the web to lead a lot… when we're actually at shows… the view of the phone and the iPad is very important.”,Lead capture in the wild is a real revenue workflow. Mobile usability directly impacts pipeline growth.,Capture demand in real time. Wherever your reps are.,
"Sync reliability historically caused adoption friction, but has improved recently",“We had… issues with sync conflicts… sometimes stuff is not coming in… but… I've definitely seen some change in the last couple of months.”,Reliability perceptions can block adoption even when customization is strong. Improvements are rebuilding trust.,Reliable QuickBooks sync builds operational confidence.,
Fishbowl created item level reporting pain due to how data lands in QuickBooks and then Method,“Everything fell under fishbowl item… instead of… citrus and lemon… I have to… start sorting it out.”,They need clean item level semantics flowing from inventory to accounting to CRM. Poor data structure creates downstream manual work.,Inventory data should flow cleanly. Not create cleanup work.,
"Their top workflow frustration is too many steps across PO, sales order, invoice, inventory checks",“We have a lot of steps… it would be nice to cut them down… a streamlined process.”,"This is the clearest ideal state: reduce handoffs, reduce duplication, reduce rework.",Shorter workflows. Fewer handoffs. Same control.,
They are a strong candidate for inventory beta,“You seem to be the perfect customer… do you mind if we reach out… Absolutely.”,"High intent, clear pain, and willingness to engage. Ideal profile for inventory and order flow validation.","Built with distributors, not just for them.",