Topic,Questions,Answers
Company & Industry Terminology,"How would you describe your industry, and what terminology do you and your customers use to define your work? (Helps refine ICP language and tailor messaging to resonate with them.)","manufacturing, building inhouse, 12 week process (founded 40 years ago, California). terms: peak capacity in production, term: bills sheet, basically lives on paper, excel, "
,What are the biggest challenges in your business right now? (Identifies key pain points to align Method CRM’s value proposition.),"In manufacturing, everything is done manually or by paper. Solution with Production app, biggest challenge is tracking. use a barcoding system for every process. consultation with owner to figure processes (end content reader)"
Business Challenges & Pain Points,"Before using Method CRM, how were you managing customer and sales data? (Helps highlight the shift from spreadsheets/manual work and the real impact of CRM adoption.)","Using Quickbooks for crm before, but owners wanted something custom for sure."
CRM & Workflow Efficiency,Which features in Method CRM are most valuable to your team? Are there any areas where you still feel limited? (Identifies core use cases and potential gaps in functionality.),"CRM purpose, estimates, invoices, payments, schedule installation projects. Team appreciates usability and customization. High level of customization. Production tab built like an Excel sheet but it's super laggy using through Method. They can also build out a report. Installation Projects (workflow: automates process of submitting quote, invoice accepted, payments made, send to location)"
QuickBooks Desktop Dependency & Transition,"How critical is QuickBooks Desktop to your daily operations, and what specific features do you rely on the most? (Confirms their reliance on QBDT and what matters most in a transition.)","Heavy long time user of QBDT, resistance to change because no need. Using Mac mini in a server environment set up."
,What concerns do you have about Intuit discontinuing QuickBooks Desktop? Have you started planning for the transition? (Surfaces transition barriers and potential churn risks.),"lots to be done if they need to change, remapping fields etc., but not very complicated. depends on company."
Future Plans & Potential Solutions,"Are you considering moving to QuickBooks Online, or are you exploring other accounting software? (Helps understand market trends and potential integrations to prioritize.)","Several meetings to transfer to QBO with PS (Yasar), limited features in QBO, tech makes sense but currently working okay. Option is salesforce and netsuite, they have integrations and customization but you have to pay for it and can do initial deployment"
,"Would additional support, integrations, or features from Method CRM help make that transition easier? If so, what would be most valuable? (Positions Method as a key partner in their tech stack.)","Techstack- QB, Avalera (tax remittance), PhotoShop, Microsoft Outlook, Zapier with Void? system"
Decision-Making & Product Perception,"What made you choose Method CRM over other options, and what would make you recommend it? (Identifies value drivers and competitive differentiation.)","One key feature, ability to customize was a priority, before method they were using QBB for everything but it was limited in CRM. Installation projects, coordination between customer, supplier, installer. "
,"If you could change one thing about Method CRM, what would it be? (Uncovers product improvement opportunities and retention risks.)","Missing high level customization documentation, great to learn but lacks how-to's. Difficult for new IT to learn Method. Having certification or course for incoming IT . Sonicwall firewall router has a course."
Staying Updated and Informed in the Manufacturing Space,Any leader in the industry you follow?,"No mostly self-learning, Certifications and courses, learning experiences, looking to implement AI into the systems"
,,Research and development employee to consult with hardware
,,"Cisco, Itel? ITil? certifications for IT manager, strategies, technology and business direction with technology"
,,"Sonicwall firewall, IT fundamentals"