Interview Theme,Customer Answer (Consolidated),Method Value Delivered,,
Business Model,"Custom architectural millwork specializing in wine cellars. They design, manufacture, and install in house. Also operate a wholesale cigar distribution business with 3,400 SKUs and humidor builds. Extremely niche.",Method supports hybrid business models: custom manufacturing + wholesale distribution + field service in one system.,,
Why They Chose Method,Found Method while searching for a CRM that integrates with QuickBooks. Previously used NetSuite and Salesforce but found them too heavy and expensive for a small business.,QuickBooks native two way sync + deep customization without ERP complexity or cost.,,
Pre Method Workflow,"Heavy spreadsheets, VLOOKUP logic, scattered data, no centralized system to parse or act on information.",Centralized CRM + custom apps replaced spreadsheet dependency.,,
Sales Cycle Complexity,Wine cellar projects have 2 to 2.5 year cycles. Remodels are 9 to 12 months. Requires long term data persistence.,Custom project apps preserve design history across multi year builds.,,
Field Sales Workflow,"Reps use tablets in the field. Access customer history, previous purchases, pricing, tax calculations, and generate invoices directly.",Simplified mobile apps built specifically for field execution. Reduced taps. Customer specific invoice templates.,,
SKU and Inventory Complexity,"3,400 SKUs on cigar side. Multi state tax rules. Different excise tax structures per state.",Custom tax calculation logic layered into apps. Real time pricing accuracy in field.,,
Inventory System,Inventory quantities and multi site management live in QuickBooks Desktop Enterprise. Team comfort drives that decision.,Two way sync allows operational access in Method without disrupting accounting team workflows.,,
Visual Sales Enablement,Built custom photo galleries in Method tied to inventory items to show real installations instead of brochure images.,Enriched inventory records with project specific photos for high ticket sales.,,
Payments,Uses Authorize.net via Method due to tobacco restrictions. QuickBooks cannot process certain tobacco payments directly.,Method enables compliant payment processing while maintaining accounting sync.,,
Customization Experience,"Works closely with Yaser to build custom apps, buttons, logic, simplified flows. Has not encountered workflow limitations.",Deep app customization enables tailored workflows not possible in standard CRM.,,
Feature Gap Identified,Strong need for bi directional POS integrated with QuickBooks. Says it would be a multi million dollar opportunity.,Strategic product opportunity leveraging existing two way sync engine.,,
Overall Sentiment,“It’s a game changer.” “I tell everybody it’s awesome.” “You guys give what you say you’ll give.”,Strong promoter. High product trust. Customization + sync validated.,,
,,,,
Research Backed Insight,Customer Quote,What This Tells Us,Method Value,Marketing Verbiage
Customization is core to survival in niche industries,“I have yet to find anything that I can't get customized.”,Their workflows are too specific for out of box systems.,Custom apps built around exact process requirements.,Built for businesses that refuse to standardize away their edge.
Field reps win with credibility through data,“It’s right there on their iPad… the customer’s entire history is right there.”,Instant data access directly impacts close rates and trust.,Customer specific views + simplified field UI.,Turn every rep into a trusted advisor.
Tax complexity requires embedded logic,“Massachusetts has a 40% excise tax plus they tax the tax.”,Regulated industries need dynamic pricing and tax calculations.,Custom tax formulas built inside apps.,Accuracy built into every transaction.
High SKU complexity demands structure,"“We have 3,400 SKUs available to us.”",Distribution layer is large and nuanced.,SKU visibility + enriched product data synced from QuickBooks.,Handle thousands of SKUs without ERP sprawl.
Visual proof closes high ticket installs,“It’s not a picture in a brochure… here’s what it’s going to look like.”,"Buyers need installation realism, not stock images.",Photo galleries tied to inventory and projects.,"Sell with proof, not promises."
Long sales cycles require data persistence,“Sales cycle… typically two and a half years.”,CRM must maintain historical design context across years.,Custom project tracking apps preserve lifecycle visibility.,Never lose momentum on long cycle deals.
ERP was too heavy for small business,“NetSuite was great but the cost was ridiculous.”,Enterprise systems overserve small niche manufacturers.,ERP level customization on QuickBooks foundation.,Enterprise capability without enterprise weight.
Sync engine is foundational differentiator,“Your sync engine is bi directional.”,Customer understands infrastructure advantage deeply.,Real time two way sync architecture.,Built on a true two way backbone.
POS is a major unmet need in QuickBooks ecosystem,“It would be a multi million dollar add on.”,Strong adjacent product expansion opportunity.,Existing sync foundation could support POS layer.,The missing POS for serious QuickBooks users.
Founder level advocacy,“I would stand on a mountain and scream it.”,Promoter level satisfaction.,Customization + reliability delivered.,"When it works, it works."